==================================================
     TOP ARCHIVOS CON MAYOR VOLUMEN DE TEXTO      
==================================================

Se encontraron 798 archivos con contenido traducible.

LÍNEAS   | RUTA DEL ARCHIVO
------------------------------------------------------------
14487    | ./src/data/graphics/pokemon.h
3347     | ./src/data/items.h
2866     | ./src/data/moves_info.h
2507     | ./data/text/trainers.inc
2354     | ./src/data/tilesets/graphics.h
2321     | ./data/text/match_call.inc
2193     | ./data/text/tv.inc
1952     | ./data/text/apprentice.inc
1602     | ./src/data/pokemon/species_info/gen_1_families.h
1360     | ./src/data/graphics/items.h
1317     | ./sound/direct_sound_data.inc
1159     | ./src/data/pokemon/species_info/gen_5_families.h
1043     | ./src/data/pokemon/species_info/gen_3_families.h
882      | ./data/layouts/layouts.inc
854      | ./src/data/trainers.h
840      | ./data/maps/BattleFrontier_BattleTowerMultiPartnerRoom/scripts.inc
819      | ./data/text/fame_checker_frlg.inc
770      | ./src/data/pokemon/species_info/gen_9_families.h
698      | ./src/data/pokemon/species_info/gen_8_families.h
690      | ./src/data/pokemon/species_info/gen_6_families.h
684      | ./src/data/pokemon/species_info/gen_2_families.h
639      | ./src/data/abilities.h
624      | ./src/data/trainers_frlg.h
610      | ./src/data/pokemon/species_info/gen_4_families.h
604      | ./src/data/pokemon/species_info/gen_7_families.h
576      | ./src/data/object_events/object_event_graphics.h
522      | ./data/text/trainers_frlg.inc
518      | ./data/maps/connections.inc
518      | ./data/maps/headers.inc
518      | ./data/maps/events.inc
457      | ./src/data/decoration/header.h
392      | ./data/scripts/mauville_man.inc
347      | ./data/maps/BattleFrontier_BattlePyramidFloor/scripts.inc
329      | ./src/data/graphics/trainers.h
315      | ./data/maps/BattleFrontier_BattleTowerLobby/scripts.inc
312      | ./src/data/text/match_call_messages.h
307      | ./data/maps/PetalburgCity_Gym/scripts.inc
300      | ./src/data/battle_frontier/battle_frontier_trainers.h
296      | ./data/text/cable_club.inc
287      | ./data/scripts/cable_club_frlg.inc
286      | ./data/text/battle_tent.inc
278      | ./data/maps/SlateportCity/scripts.inc
276      | ./src/data/battle_frontier/trainer_hill.h
270      | ./src/data/tilesets/metatiles.h
269      | ./data/scripts/contest_hall.inc
266      | ./src/data/script_menu.h
242      | ./data/maps/BattleFrontier_BattlePyramidLobby/scripts.inc
239      | ./src/data/union_room.h
239      | ./data/maps/OneIsland_PokemonCenter_1F_Frlg/scripts.inc
239      | ./data/maps/LilycoveCity/scripts.inc
236      | ./data/maps/PalletTown_ProfessorOaksLab_Frlg/scripts.inc
234      | ./data/maps/LittlerootTown_ProfessorBirchsLab/scripts.inc
223      | ./data/maps/SootopolisCity/scripts.inc
214      | ./data/maps/SaffronCity_PokemonTrainerFanClub_Frlg/scripts.inc
209      | ./src/data/region_map/region_map_entries.h
208      | ./src/data/contest_opponents.h
198      | ./data/maps/BattleFrontier_BattlePalaceLobby/scripts.inc
196      | ./sound/voice_groups.inc
191      | ./data/maps/MtChimney/scripts.inc
188      | ./data/maps/BattleFrontier_Lounge3/scripts.inc
184      | ./data/maps/BattleFrontier_Lounge2/scripts.inc
182      | ./src/data/pokemon/species_info/shared_dex_text.h
181      | ./data/maps/RustboroCity/scripts.inc
179      | ./data/maps/MossdeepCity_Gym/scripts.inc
176      | ./data/maps/LilycoveCity_PokemonTrainerFanClub/scripts.inc
167      | ./data/text/secret_base_trainers.inc
163      | ./data/maps/Route110/scripts.inc
161      | ./data/scripts/debug.inc
160      | ./data/maps/BattleFrontier_BattleDomeLobby/scripts.inc
160      | ./data/maps/BattleFrontier_BattleDomeBattleRoom/scripts.inc
159      | ./src/data/credits.h
156      | ./data/text/move_tutors.inc
154      | ./data/scripts/lilycove_lady.inc
154      | ./data/maps/BattleFrontier_BattleArenaLobby/scripts.inc
153      | ./data/text/berries.inc
152      | ./src/data/wallpapers.h
149      | ./data/maps/BattleFrontier_BattleFactoryLobby/scripts.inc
146      | ./data/maps/MtPyre_Summit/scripts.inc
146      | ./data/maps/BattleFrontier_ReceptionGate/scripts.inc
143      | ./data/maps/BattleFrontier_OutsideWest/scripts.inc
141      | ./data/text/pokemon_news.inc
141      | ./data/maps/BattleFrontier_OutsideEast/scripts.inc
141      | ./data/maps/MauvilleCity/scripts.inc
140      | ./data/maps/LavaridgeTown_Gym_1F/scripts.inc
139      | ./src/data/graphics/berries.h
139      | ./data/scripts/berry_blender.inc
139      | ./data/text/pokedex_rating.inc
138      | ./src/data/easy_chat/easy_chat_group_feelings.h
138      | ./src/data/text/follower_messages.h
133      | ./data/scripts/safari_zone.inc
132      | ./data/maps/DewfordTown_Hall/scripts.inc
